match_id,year,home_team,away_team,home_score,away_score,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop,result
171,1966,Uruguay,France,2.0,1.0,,,1809185093.55188,109306730313.216,2707646.0,50311637.0,1
172,1966,England,Mexico,2.0,0.0,,,108572752102.045,24320000000.0,54648500.0,44629106.0,1
173,1966,Mexico,Uruguay,0.0,0.0,,,24320000000.0,1809185093.55188,44629106.0,2707646.0,0
174,1966,England,France,2.0,0.0,,,108572752102.045,109306730313.216,54648500.0,50311637.0,1
175,1966,West Germany,Switzerland,5.0,0.0,,,,18019402373.5388,,5918002.0,1
176,1966,Argentina,Spain,2.0,1.0,,,28630474727.9023,29559436182.9186,22453893.0,32283194.0,1
177,1966,Spain,Switzerland,2.0,1.0,,,29559436182.9186,18019402373.5388,32283194.0,5918002.0,1
178,1966,Argentina,West Germany,0.0,0.0,,,28630474727.9023,,22453893.0,,0
179,1966,Argentina,Switzerland,2.0,0.0,,,28630474727.9023,18019402373.5388,22453893.0,5918002.0,1
180,1966,West Germany,Spain,2.0,1.0,,,,29559436182.9186,,32283194.0,1
181,1966,Brazil,Bulgaria,2.0,0.0,,,28283323733.1114,,86139359.0,8258057.0,1
182,1966,Portugal,Hungary,3.0,1.0,,,5370108031.12859,,8930990.0,10178653.0,1
183,1966,Hungary,Brazil,3.0,1.0,,,,28283323733.1114,10178653.0,86139359.0,1
184,1966,Portugal,Bulgaria,3.0,0.0,,,5370108031.12859,,8930990.0,8258057.0,1
185,1966,Portugal,Brazil,3.0,1.0,,,5370108031.12859,28283323733.1114,8930990.0,86139359.0,1
186,1966,Hungary,Bulgaria,3.0,1.0,,,,,10178653.0,8258057.0,1
187,1966,Soviet Union,North Korea,3.0,0.0,,,,,,,1
188,1966,Italy,Chile,2.0,0.0,,,76622444787.3696,7256882086.19585,52519000.0,9181722.0,1
189,1966,Chile,North Korea,1.0,1.0,,,7256882086.19585,,9181722.0,,0
190,1966,Soviet Union,Italy,1.0,0.0,,,,76622444787.3696,,52519000.0,1
191,1966,North Korea,Italy,1.0,0.0,,,,76622444787.3696,,52519000.0,1
192,1966,Soviet Union,Chile,2.0,1.0,,,,7256882086.19585,,9181722.0,1
193,1966,England,Argentina,1.0,0.0,,,108572752102.045,28630474727.9023,54648500.0,22453893.0,1
194,1966,West Germany,Uruguay,4.0,0.0,,,,1809185093.55188,,2707646.0,1
195,1966,Soviet Union,Hungary,2.0,1.0,,,,,,10178653.0,1
196,1966,Portugal,North Korea,5.0,3.0,,,5370108031.12859,,8930990.0,,1
197,1966,West Germany,Soviet Union,2.0,1.0,,,,,,,1
198,1966,England,Portugal,2.0,1.0,,,108572752102.045,5370108031.12859,54648500.0,8930990.0,1
199,1966,Portugal,Soviet Union,2.0,1.0,,,5370108031.12859,,8930990.0,,1
200,1966,England,West Germany,4.0,2.0,,,108572752102.045,,54648500.0,,1
201,1970,Mexico,Soviet Union,0.0,0.0,,,35520000000.0,,50814953.0,,0
202,1970,Belgium,El Salvador,3.0,0.0,,,26706196046.7931,1132920000.0,9655549.0,3668796.0,1
203,1970,Soviet Union,Belgium,4.0,1.0,,,,26706196046.7931,,9655549.0,1
204,1970,Mexico,El Salvador,4.0,0.0,,,35520000000.0,1132920000.0,50814953.0,3668796.0,1
205,1970,Soviet Union,El Salvador,2.0,0.0,,,,1132920000.0,,3668796.0,1
206,1970,Mexico,Belgium,1.0,0.0,,,35520000000.0,26706196046.7931,50814953.0,9655549.0,1
207,1970,Uruguay,Israel,2.0,0.0,,,2137096774.19355,7406712876.3832,2790807.0,2974000.0,1
