match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
71,1950,Final,Brazil,Sweden,7.0,1.0,5.0,17.0,1,119498715700.0,53443075.0,75344388000.0,7014000.0
65,1950,Group Stage,Chile,United States,5.0,2.0,4.0,19.0,1,35814098040.0,6090833.0,2320610040000.0,152271000.0
59,1950,Group Stage,Switzerland,Mexico,2.0,1.0,7.0,28.0,1,54173630262.24768,4694000.0,99982981800.0,28485180.0
63,1950,Group Stage,United States,England,1.0,0.0,19.0,12.0,1,2320610040000.0,152271000.0,554454747000.0,50127000.0
62,1950,Group Stage,Spain,Chile,2.0,0.0,22.0,4.0,1,97082143790.08331,28062963.0,35814098040.0,6090833.0
61,1950,Group Stage,Spain,United States,3.0,1.0,22.0,19.0,1,97082143790.08331,28062963.0,2320610040000.0,152271000.0
60,1950,Group Stage,England,Chile,2.0,0.0,12.0,4.0,1,554454747000.0,50127000.0,35814098040.0,6090833.0
58,1950,Group Stage,Brazil,Yugoslavia,2.0,0.0,5.0,9.0,1,119498715700.0,53443075.0,37094248000.0,16298000.0
57,1950,Group Stage,Yugoslavia,Mexico,4.0,1.0,9.0,28.0,1,37094248000.0,16298000.0,99982981800.0,28485180.0
56,1950,Group Stage,Brazil,Switzerland,2.0,2.0,5.0,7.0,0,119498715700.0,53443075.0,54173630262.24768,4694000.0
55,1950,Group Stage,Yugoslavia,Switzerland,3.0,0.0,9.0,7.0,1,37094248000.0,16298000.0,54173630262.24768,4694000.0
54,1950,Group Stage,Brazil,Mexico,4.0,0.0,5.0,28.0,1,119498715700.0,53443075.0,99982981800.0,28485180.0
64,1950,Group Stage,Spain,England,1.0,0.0,22.0,12.0,1,97082143790.08331,28062963.0,554454747000.0,50127000.0
91,1954,Group Stage,Italy,Belgium,4.0,1.0,1.0,32.0,1,342536508000.0,48299000.0,84754241800.0,8819380.0
93,1954,Group Stage,Switzerland,Italy,4.0,1.0,9.0,1.0,1,64921861555.846085,4929000.0,342536508000.0,48299000.0
